#JD_UTC	rel_flux_T1	rel_flux_C2	rel_flux_C3
2460827.656701	0.293077	1.092100	0.915667
2460827.658798	0.291602	1.090941	0.916640
2460827.660895	0.291966	1.089277	0.918040
2460827.662992	0.292387	1.085312	0.921394
2460827.665088	0.291142	1.087110	0.919870
2460827.667185	0.292868	1.091971	0.915775
2460827.669282	0.292368	1.088445	0.918742
2460827.671378	0.291409	1.087622	0.919437
2460827.673474	0.292603	1.095449	0.912868
2460827.675571	0.291313	1.092499	0.915332
2460827.677667	0.293134	1.094054	0.914032
2460827.679764	0.292476	1.089102	0.918188
2460827.681861	0.292709	1.089913	0.917505
2460827.683957	0.290403	1.090759	0.916793
2460827.686054	0.290387	1.089178	0.918124
2460827.688151	0.291021	1.090374	0.917116
2460827.690247	0.289342	1.080168	0.925782
2460827.692344	0.291559	1.090283	0.917193
2460827.694441	0.292650	1.092118	0.915652
2460827.696537	0.291503	1.090877	0.916693
2460827.698634	0.289798	1.087386	0.919637
2460827.700731	0.291501	1.094420	0.913726
2460827.702827	0.289515	1.093487	0.914506
2460827.704924	0.288008	1.093277	0.914681
2460827.707021	0.286915	1.080130	0.925814
2460827.709118	0.285325	1.084444	0.922132
2460827.711214	0.286158	1.093440	0.914545
2460827.713311	0.286831	1.091892	0.915842
2460827.715408	0.289371	1.094634	0.913547
2460827.717504	0.288953	1.090216	0.917249
2460827.719601	0.288803	1.090643	0.916890
2460827.721698	0.287031	1.087740	0.919337
2460827.723793	0.287886	1.092893	0.915003
2460827.725890	0.288164	1.094958	0.913277
2460827.727987	0.288496	1.097786	0.910924
2460827.730083	0.287443	1.091076	0.916527
2460827.732180	0.285035	1.091350	0.916297
2460827.734277	0.285611	1.088087	0.919044
2460827.736373	0.286016	1.087176	0.919815
2460827.738470	0.287894	1.091837	0.915888
2460827.740567	0.287466	1.094665	0.913522
2460827.742663	0.287358	1.089948	0.917475
2460827.744760	0.288181	1.092772	0.915104
2460827.746857	0.287317	1.086049	0.920769
2460827.748953	0.289025	1.091964	0.915781
2460827.751050	0.289943	1.093418	0.914563
2460827.753146	0.289937	1.087194	0.919799
2460827.755243	0.291899	1.092428	0.915392
2460827.757340	0.292298	1.095724	0.912638
2460827.759436	0.290885	1.082899	0.923448
2460827.761533	0.289754	1.074401	0.930751
2460827.763630	0.292988	1.085915	0.920883
2460827.765726	0.290537	1.085073	0.921597
2460827.767823	0.291005	1.080176	0.925775
2460827.769918	0.292264	1.086151	0.920682
2460827.772015	0.293444	1.095179	0.913092
2460827.774112	0.294033	1.100684	0.908526
2460827.776209	0.293951	1.091681	0.916019
2460827.778306	0.292092	1.086158	0.920677
2460827.780402	0.293005	1.092365	0.915445
2460827.782499	0.292364	1.094102	0.913992
2460827.784596	0.293639	1.093674	0.914350
2460827.786693	0.293165	1.093529	0.914471
2460827.788789	0.292792	1.095335	0.912963
2460827.790885	0.294299	1.098037	0.910716
2460827.792982	0.293666	1.089231	0.918079
2460827.795079	0.293062	1.091674	0.916024
2460827.797176	0.292564	1.091094	0.916512
2460827.799271	0.292675	1.086211	0.920631
2460827.801369	0.293763	1.092260	0.915533
2460827.803465	0.293913	1.092701	0.915163
